purchase_id,consumer_id,graphed_date,avocado_bunch_id,reporting_year,qa_process,billing_provider_sku,grocery_store_id,price_index
48928700,111013235506,3/29/1998,4,2024,IR,1528036985,1528036985,5
125754634,111013235506,3/29/1998,2,2024,IR,,,5
125347317,111013235506,3/29/1998,2,2024,IR,1053334755,1053334755,3
128589181,111013235506,5/25/1998,4,2024,IR,1053334755,1053334755,3
129002660,111013235506,5/25/1998,5,2024,IR,,,3
49882001,111013235506,5/25/1998,5,2024,IR,1265879340,1265879340,4
130752058,111013235506,7/16/1998,5,2024,IR,1053334755,1053334755,5
50765307,111013235506,7/16/1998,5,2024,IR,1063441988,1063441988,4
131859213,111013235506,8/16/1998,2,2024,IR,1053334755,1053334755,2
51262790,111013235506,8/16/1998,7,2024,IR,1033148747,1033148747,3
132138735,111013235506,8/16/1998,7,2024,IR,,,3
51183949,111013235506,9/5/1998,8,2024,IR,,,3
51573853,111013208632,9/4/1998,1,,,,,1
138147692,111013208632,9/4/1998,2,2024,IR,,,1
48440450,111013213095,4/18/1998,3,2024,IR,1861416786,1861416786,1
126447118,111013213095,4/18/1998,3,2024,IR,1861418691,1861418691,3
131927202,111013213095,8/17/1998,3,2024,IR,1528136843,1528136843,3
50865030,111013213095,8/17/1998,4,2024,IR,1457757247,1457757247,1
51009117,111013213095,8/31/1998,3,2024,IR,,,6
134508388,111013213095,8/31/1998,2,2024,IR,,,4
133952887,111013213095,8/31/1998,3,2024,IR,1912324302,1912324302,4
130219627,111013238188,6/20/1998,7,2024,IR,,,4
50349390,111013238188,6/20/1998,8,2024,IR,1144239732,1144239732,3
130221964,111013238188,6/20/1998,9,2024,IR,1891075925,1891075925,1
130221959,111013238188,6/20/1998,4,2024,IR,1053334755,1053334755,
129800860,111013238188,6/20/1998,5,2024,IR,1144239732,1144239732,2
130648533,111013238188,7/13/1998,8,2024,IR,1053334755,1053334755,1
50720333,111013238188,7/13/1998,5,2024,IR,1174751085,1174751085,3
130914081,111013238188,7/13/1998,5,2024,IR,,,11
131728397,111013238188,8/4/1998,4,2024,IR,,,3
131461103,111013238188,8/4/1998,3,2024,IR,1053334755,1053334755,4
51081502,111013238188,8/4/1998,3,2024,IR,1033148747,1033148747,3
51109679,111013238188,8/30/1998,3,2024,IR,1851754386,1851754386,2
133899598,111013238188,8/30/1998,6,2024,IR,,,8
132349297,111013238188,8/30/1998,4,2024,IR,1174751085,1174751085,3
133608175,111013225659,8/23/1998,1,2024,IR,1629497870,1629497870,6
132207253,111013225659,8/23/1998,0,2024,IR,1134735962,1134735962,3
51373062,111013225659,8/23/1998,1,2024,IR,1871932905,1871932905,4
132100867,111013225659,8/23/1998,7,2024,IR,1598818395,1598818395,3
133878927,111013225659,8/23/1998,5,2024,IR,1053334755,1053334755,8
133608027,111013225659,8/23/1998,9,2024,IR,1528214855,1528214855,3
132171972,111013225659,8/24/1998,5,2024,IR,1962435677,1962435677,3
132206736,111013225659,8/25/1998,4,2024,IR,,,3
51535953,111013225659,9/1/1998,6,2024,IR,,,2
137512905,111013225659,9/2/1998,2,2024,IR,,,
138147096,111013225659,9/4/1998,3,2024,IR,,,8
132341123,111013198531,8/29/1998,9,2024,IR,,,8
51370542,111013198531,8/29/1998,8,2024,IR,1407274459,1407274459,
135714308,111013198531,9/1/1998,9,2024,IR,,,7
138139311,111013198531,9/1/1998,9,2024,IR,,,6
51483753,111013198531,9/1/1998,9,2024,IR,,,6
